factor,x,S,n_c,B,A,n_gates,H_tot,D,K,seeds,delta_star,ucbvi_delay,ucbvi_delay_sem,ucbvi_blind,etc_oracle,etc_best_ne,empirical_floor,floor_algorithm,ref_floor_BH,no_learning_ref,regime_ok
D_max,1.0,36,20,16,3,20,32,1,12000,12,0.020434239039839975,4228.143759515948,99.36951097067247,4228.143759515948,4238.754238136885,16,4228.143759515948,ucbvi_delay,1151.2482231162342,5067.691281880315,True
D_max,2.0,36,20,16,3,20,32,2,12000,12,0.02884559093182197,6037.430258015723,145.74618654860916,6394.221372251482,6001.661725259383,32,6001.661725259383,etc_oracle,1627.8875522865358,7153.706551091849,True
D_max,4.0,36,20,16,3,20,32,4,12000,12,0.040768478079679954,9056.87028719541,239.0077125639797,9113.005084137976,7965.980555991508,2,7965.980555991508,etc_oracle,2301.540750909058,10110.58256376063,True
D_max,8.0,36,20,16,3,20,32,8,12000,12,0.057591181863643946,11753.995474219322,385.8800213898136,12367.850283173715,11856.50297867027,16,11753.995474219322,ucbvi_delay,3253.059975443077,14282.6131021837,True
D_max_wide,1.0,68,36,32,2,36,64,1,8000,8,0.03350041673612269,6463.222838244155,290.174592124214,6463.222838244155,6477.205074679043,16,6463.222838244155,ucbvi_delay,2562.3388638106885,8442.105017502918,True
D_max_wide,4.0,68,36,32,2,36,64,4,8000,8,0.06690083347224537,12848.67302292834,396.45247076061315,14308.031079083463,13352.3359477241,16,12848.67302292834,ucbvi_delay,5118.907693950965,16859.010035005835,True
D_max_wide,16.0,68,36,32,2,36,64,16,8000,8,0.132558376396066,28652.89073314012,856.1019173472663,26656.959259744268,25949.196948570152,16,25949.196948570152,etc_oracle,10191.574660652797,33404.71085180863,True
S,16.0,16,12,4,4,24,8,2,20000,12,0.024517419569928322,1286.0203811747213,62.09680016194568,,1196.0618825358606,64,1196.0618825358606,etc_oracle,519.886809607333,1716.2193698949827,True
S,24.0,24,18,6,4,36,8,2,20000,12,0.02998888148024671,1529.4404527131917,58.500324782053276,,1461.9504749416194,64,1461.9504749416194,etc_oracle,636.6660847699284,2099.2217036172697,True
S,32.0,32,24,8,4,48,8,2,20000,12,0.03464370728454743,1814.651822442881,46.98558805825531,,1777.386741306649,8,1777.386741306649,etc_oracle,735.0845882826567,2425.05950991832,True
S,48.0,48,36,12,4,72,8,2,20000,12,0.04240175029171529,2198.166804268608,57.73383216207638,,2134.0306234735094,32,2134.0306234735094,etc_oracle,900.1112443703652,2968.1225204200705,True
S,64.0,64,48,16,4,96,8,2,20000,12,0.04893483913985665,2502.0831821567053,58.9167988657231,,2427.094619078502,32,2427.094619078502,etc_oracle,1039.1510153096551,3425.4387397899654,True
A,2.0,16,12,4,2,12,8,2,20000,12,0.01733102183697283,1063.8907719955735,39.62781416080068,,955.5747740179512,16,955.5747740179512,etc_oracle,367.6526619991977,1213.1715285880982,True
A,4.0,16,12,4,4,24,8,2,20000,12,0.024517419569928322,1286.0203811747213,62.09680016194568,,1196.0618825358606,64,1196.0618825358606,etc_oracle,519.886809607333,1716.2193698949827,True
A,6.0,16,12,4,6,36,8,2,20000,12,0.02998888148024671,1527.4112050663614,28.316329167794528,,1311.506252848991,32,1311.506252848991,etc_oracle,636.6660847699284,2099.2217036172697,True
A,8.0,16,12,4,8,48,8,2,20000,12,0.03464370728454743,1722.8431111631874,41.18906086204275,,1402.149199805495,32,1402.149199805495,etc_oracle,735.0845882826567,2425.05950991832,True
A,10.0,16,12,4,10,60,8,2,20000,12,0.03872688781463578,1932.00052481559,59.12564446257412,,1456.9184285492845,16,1456.9184285492845,etc_oracle,821.7672449983274,2710.8821470245043,True
H,8.0,16,12,4,4,24,8,2,20000,12,0.024517419569928322,1286.0203811747213,62.09680016194568,,1196.0618825358606,64,1196.0618825358606,etc_oracle,519.886809607333,1716.2193698949827,True
H,12.0,16,12,4,4,24,12,2,20000,12,0.024517419569928322,1881.188913708058,94.55789288304452,,1953.6910096126487,64,1881.188913708058,ucbvi_delay,816.964986525809,2696.9161526921152,True
H,16.0,16,12,4,4,24,16,2,20000,12,0.024517419569928322,2703.474562427162,89.18578241489664,,2292.746491081273,32,2292.746491081273,etc_oracle,1114.043163444285,3677.6129354892482,True
H,24.0,16,12,4,4,24,24,2,20000,12,0.024517419569928322,4269.197838528515,168.15639146145168,,3833.5375945981687,64,3833.5375945981687,etc_oracle,1708.199517281237,5639.006501083514,True
H,32.0,16,12,4,4,24,32,2,20000,12,0.024517419569928322,5640.700246151476,286.1200077783276,,5688.0760732348635,64,5640.700246151476,ucbvi_delay,2302.3558711181886,7600.400066677779,True
K,2500.0,16,12,4,4,24,8,2,2500,12,0.06902408734789132,455.5877365324804,23.261799316596072,,443.50852124659446,8,443.50852124659446,etc_oracle,183.55049273700263,603.9607642940491,True
K,5000.0,16,12,4,4,24,8,2,5000,12,0.04893483913985665,662.337125661213,20.479081323693922,,529.2017399747064,16,529.2017399747064,etc_oracle,259.7877538274138,856.3596849474914,True
K,10000.0,16,12,4,4,24,8,2,10000,12,0.03464370728454743,800.9567384674832,32.96491716952515,,865.6249920653845,32,800.9567384674832,ucbvi_delay,367.54229414132834,1212.52975495916,True
K,20000.0,16,12,4,4,24,8,2,20000,12,0.024517419569928322,1286.0203811747213,62.09680016194568,,1196.0618825358606,64,1196.0618825358606,etc_oracle,519.886809607333,1716.2193698949827,True
K,40000.0,16,12,4,4,24,8,2,40000,12,0.01733102183697283,1732.2269670950584,57.21484826063441,,1755.9040314271933,32,1732.2269670950584,ucbvi_delay,735.3053239983954,2426.3430571761965,True
