axis,regime,alpha,factor,H,S,A,n_states_total,alg,t_end,reg_at_t_end,t_rate_slope,exponent,r2_exponent
S,adv,1.5,3,3,3,3,7,OM,32000,2927.63,0.6495,0.0361,0.9722
S,adv,1.5,3,3,3,3,7,UOB,32000,3779.98,0.6561,0.0022,0.009
S,adv,1.5,6,3,6,3,13,OM,32000,2996.21,0.6522,0.0361,0.9722
S,adv,1.5,6,3,6,3,13,UOB,32000,3967.19,0.6742,0.0022,0.009
S,adv,1.5,12,3,12,3,25,OM,32000,3047.24,0.6558,0.0361,0.9722
S,adv,1.5,12,3,12,3,25,UOB,32000,3875.35,0.6728,0.0022,0.009
S,adv,1.5,24,3,24,3,49,OM,32000,3164.34,0.6608,0.0361,0.9722
S,adv,1.5,24,3,24,3,49,UOB,32000,3828.87,0.6722,0.0022,0.009
S,stoch,1.5,3,3,3,3,7,OM,48000,1591.41,0.294,0.5361,0.9975
S,stoch,1.5,3,3,3,3,7,UOB,48000,10131.16,0.4151,0.4766,0.9975
S,stoch,1.5,6,3,6,3,13,OM,48000,2189.06,0.3265,0.5361,0.9975
S,stoch,1.5,6,3,6,3,13,UOB,48000,13770.38,0.4569,0.4766,0.9975
S,stoch,1.5,12,3,12,3,25,OM,48000,3241.6,0.3991,0.5361,0.9975
S,stoch,1.5,12,3,12,3,25,UOB,48000,20104.51,0.5773,0.4766,0.9975
S,stoch,1.5,24,3,24,3,49,OM,48000,4817.82,0.4632,0.5361,0.9975
S,stoch,1.5,24,3,24,3,49,UOB,48000,26857.89,0.7128,0.4766,0.9975
H,adv,1.5,2,2,6,3,7,OM,32000,2090.93,0.6672,0.9527,0.9976
H,adv,1.5,2,2,6,3,7,UOB,32000,2467.94,0.6598,1.1744,1.0
H,adv,1.5,3,3,6,3,13,OM,32000,2996.21,0.6522,0.9527,0.9976
H,adv,1.5,3,3,6,3,13,UOB,32000,3967.19,0.6742,1.1744,1.0
H,adv,1.5,4,4,6,3,19,OM,32000,4059.98,0.6638,0.9527,0.9976
H,adv,1.5,4,4,6,3,19,UOB,32000,5571.17,0.68,1.1744,1.0
H,stoch,1.5,2,2,6,3,7,OM,48000,1220.16,0.3155,1.4304,1.0
H,stoch,1.5,2,2,6,3,7,UOB,48000,6174.87,0.4664,2.0106,0.9999
H,stoch,1.5,3,3,6,3,13,OM,48000,2189.06,0.3265,1.4304,1.0
H,stoch,1.5,3,3,6,3,13,UOB,48000,13770.38,0.4569,2.0106,0.9999
H,stoch,1.5,4,4,6,3,19,OM,48000,3286.86,0.3289,1.4304,1.0
H,stoch,1.5,4,4,6,3,19,UOB,48000,24921.81,0.4648,2.0106,0.9999
A,adv,1.5,3,3,6,3,13,OM,32000,2996.21,0.6522,0.4783,0.9778
A,adv,1.5,3,3,6,3,13,UOB,32000,3967.19,0.6742,0.285,0.9748
A,adv,1.5,6,3,6,6,13,OM,32000,4443.78,0.6535,0.4783,0.9778
A,adv,1.5,6,3,6,6,13,UOB,32000,5029.74,0.6651,0.285,0.9748
A,adv,1.5,9,3,6,9,13,OM,32000,5006.96,0.6583,0.4783,0.9778
A,adv,1.5,9,3,6,9,13,UOB,32000,5384.43,0.6663,0.285,0.9748
A,stoch,1.5,3,3,6,3,13,OM,48000,2189.06,0.3265,1.1837,0.9979
A,stoch,1.5,3,3,6,3,13,UOB,48000,13770.38,0.4569,1.1896,0.9855
A,stoch,1.5,6,3,6,6,13,OM,48000,5215.19,0.3484,1.1837,0.9979
A,stoch,1.5,6,3,6,6,13,UOB,48000,35604.7,0.5167,1.1896,0.9855
A,stoch,1.5,9,3,6,9,13,OM,48000,7963.26,0.3734,1.1837,0.9979
A,stoch,1.5,9,3,6,9,13,UOB,48000,49673.75,0.5924,1.1896,0.9855
