dataset,model,method,n_seeds,n_test,skce_mean,skce_sd,stat_mean,accept_frac,crps_norm_mean,crps_norm_sd
california,gbm,raw,6,1000,0.0064716291936315964,0.000686817300783684,-0.0002588176645832711,0.0,1.0,0.0
california,gbm,kuleshov,6,1000,0.002036043028785168,0.00037000217023960776,-0.0003788291574932289,0.0,0.921134,0.010811
california,gbm,song,6,1000,0.0030209703245876254,0.0006326526337088789,-0.0003632968622014064,0.0,0.925264,0.008797
california,gbm,ckme,6,1000,0.00042670212274003547,0.00011834115059899375,-0.0003195533751269376,0.16666666666666666,0.896932,0.015958
california,rf,raw,6,1000,0.0005293751355389529,0.00020652147916805575,-0.00030756458786038344,0.0,1.0,0.0
california,rf,kuleshov,6,1000,0.0003762018812081265,0.00011336482301572414,-0.00029918512945285007,0.0,0.997467,0.002799
california,rf,song,6,1000,0.0004580477273283864,0.0001395582025165162,-0.0003091603556241406,0.0,0.999522,0.002832
california,rf,ckme,6,1000,0.00046463397346897936,0.00015526391344853943,-0.00029249721563252796,0.0,1.012541,0.004484
wine_red,gbm,raw,10,300,0.035630599507655826,0.006745147005416869,-0.0009697467916053644,0.0,1.0,0.0
wine_red,gbm,kuleshov,10,300,0.03873326910816423,0.005487939240042744,-0.0015960647687345304,0.0,0.925781,0.009932
wine_red,gbm,song,10,300,0.0378410280379253,0.006012750720075567,-0.0015019673593490144,0.0,0.927785,0.007725
wine_red,gbm,ckme,10,300,0.01048821397504774,0.003945590204564619,-0.0017775306400398313,0.0,0.829349,0.018448
wine_red,rf,raw,10,300,0.025633547244035222,0.0026620918252308005,-0.0012276971833787092,0.0,1.0,0.0
wine_red,rf,kuleshov,10,300,0.02315067163309836,0.0023991201423299627,-0.0011133130067094259,0.0,0.999153,0.004162
wine_red,rf,song,10,300,0.026256412137661632,0.0027611908595268305,-0.0012471879703913117,0.0,1.000632,0.003547
wine_red,rf,ckme,10,300,0.008110295265881948,0.0027977827162296506,-0.001162551840540906,0.0,0.918991,0.027843
concrete,gbm,raw,10,200,0.0010910334907610875,0.0004236781195919746,-0.0005076015019248803,0.0,1.0,0.0
concrete,gbm,kuleshov,10,200,0.000378347947970665,0.00027227134166729324,-0.000620113657632164,0.5,0.905147,0.012732
concrete,gbm,song,10,200,0.0004584532022074859,0.000283807650527246,-0.0005679345927495686,0.3,0.904562,0.010231
concrete,gbm,ckme,10,200,0.0006247546358513588,0.0004943581623686793,-0.0006519634049853559,0.4,0.975395,0.059625
concrete,rf,raw,10,200,0.00026120757396663096,0.00028384055833359777,-0.0006860679589231066,0.6,1.0,0.0
concrete,rf,kuleshov,10,200,0.00025824336733227626,0.00021546608637266806,-0.0006497113290546636,0.7,0.998112,0.007972
concrete,rf,song,10,200,0.00023173938517079932,0.00020866688528473312,-0.0006608194212481372,0.7,0.998039,0.007075
concrete,rf,ckme,10,200,0.0006545264676866169,0.0005310439472496871,-0.0006584698198022767,0.2,1.057147,0.041875
energy,gbm,raw,10,150,0.00037352846326226994,0.00010861603436913362,-0.0001398025689975609,0.0,1.0,0.0
energy,gbm,kuleshov,10,150,0.00032705589383545095,6.216541306851404e-05,-0.00013868065166173794,0.0,0.955547,0.024965
energy,gbm,song,10,150,0.00033382926388248184,6.924987748156641e-05,-0.00013705902606008083,0.0,0.953324,0.025521
energy,gbm,ckme,10,150,0.0003187951885569626,0.00012685460144102085,-0.00013183975033740546,0.0,0.817855,0.099897
energy,rf,raw,10,150,0.00024372433216774794,4.7751369424104396e-05,-0.00013138533403975064,0.0,1.0,0.0
energy,rf,kuleshov,10,150,0.00023496071069625877,3.253531299553081e-05,-0.00013396786607329433,0.0,0.973793,0.032887
energy,rf,song,10,150,0.00023109041968581652,3.595923360292406e-05,-0.00013277373467375186,0.0,0.965523,0.033372
energy,rf,ckme,10,150,0.0003152423229419516,7.884586538397492e-05,-0.0001397403907773058,0.0,1.067968,0.252899
diabetes,gbm,raw,10,96,0.01750688997338364,0.006001190910131909,-0.003067836329403715,0.0,1.0,0.0
diabetes,gbm,kuleshov,10,96,0.0060735774763463115,0.0034818142521889756,-0.006298465158904998,0.3,0.856193,0.033762
diabetes,gbm,song,10,96,0.00694348647383433,0.003211214654496612,-0.005081536923607152,0.1,0.855673,0.023304
diabetes,gbm,ckme,10,96,0.015375540210371835,0.015649238361698722,-0.01497961413721861,0.4,0.850504,0.03473
diabetes,rf,raw,10,96,0.0037485608470481948,0.005088545730923968,-0.006221561791284855,0.6,1.0,0.0
diabetes,rf,kuleshov,10,96,0.0026857097645074358,0.004105973956539767,-0.007432189964017591,0.7,0.997233,0.019526
diabetes,rf,song,10,96,0.0021438272838020466,0.00412950578829208,-0.007348623096833077,0.7,0.992081,0.015608
diabetes,rf,ckme,10,96,0.014454534587185425,0.011778663384411192,-0.013089458936227127,0.4,1.059751,0.035652
