dataset,model,method,crps_norm_mean,crps_norm_sd,skce_mean,skce_sd,stat_mean,stat_sd,accept_frac,paper_crps_mean,paper_crps_sd,agree_2sd
yacht,gdn,none,1.0,0.0,1.9641210130405105e-05,2.3897647558460503e-05,-4.9300330385672615e-05,5.461032882213022e-05,1.0,,,
yacht,gdn,pit,0.994266,0.026395,2.0890605305118516e-05,3.171021403102358e-05,-4.9420547680346256e-05,5.604732871272152e-05,0.9,0.997,0.077,
yacht,gdn,beta,0.99292,0.023263,2.209953535817873e-05,3.390233277938386e-05,-4.959563884446648e-05,5.6741702284795846e-05,0.9,0.905,0.198,
yacht,gdn,ckme,1.559909,0.319885,4.2239592236248405e-05,4.356276360762766e-05,-7.432015161887217e-05,7.161521455090838e-05,0.7,1.276,0.537,True
yacht,mdn,none,1.0,0.0,3.598683396228893e-05,3.9713395357620534e-05,-5.269165513223434e-05,5.6077567898116715e-05,0.5,,,
yacht,mdn,pit,0.988406,0.054568,3.678364412093842e-05,4.109084609397752e-05,-5.381957306222812e-05,6.0419634942353766e-05,0.4,1.058,0.13,
yacht,mdn,beta,0.985681,0.048544,3.643237265759348e-05,4.111245597626949e-05,-5.3028006820472174e-05,5.714791695375067e-05,0.3,0.87,0.131,
yacht,mdn,ckme,1.654671,0.52488,6.86250325245659e-05,5.302855881137558e-05,-7.740561932329467e-05,6.906281051637846e-05,0.3,1.326,0.591,True
yacht,bnn,none,1.0,0.0,2.5071382308139164e-05,2.8454153749795866e-05,-5.088217402259283e-05,5.075279834576235e-05,1.0,,,
yacht,bnn,pit,0.987885,0.096513,2.5207497640427727e-05,3.14716355215056e-05,-4.866773431581494e-05,4.526543731399711e-05,0.8,1.097,0.142,
yacht,bnn,beta,0.975456,0.090965,2.625394857211329e-05,3.1106277314835615e-05,-4.871610042689995e-05,4.626100879964419e-05,0.9,,,
yacht,bnn,ckme,1.426607,0.381244,4.554379965245552e-05,4.195439881113431e-05,-6.945845873825516e-05,5.882939981338096e-05,0.8,0.889,0.341,True
yacht,drf,none,1.0,0.0,5.745795395468459e-06,1.4632358192241021e-05,-5.289234141689801e-05,4.8029122331356915e-05,0.9,,,
yacht,drf,pit,1.072934,0.058282,8.917856026133624e-06,1.1353770743876556e-05,-5.956373436397562e-05,5.740725108788469e-05,0.9,0.933,0.089,
yacht,drf,beta,1.072009,0.071697,9.28526652535142e-06,1.0555722931004353e-05,-5.9694675747787846e-05,6.105627323174816e-05,1.0,,,
yacht,drf,ckme,1.537766,0.545922,4.922133148775551e-05,5.075518274378245e-05,-7.64189667087991e-05,7.59489784090261e-05,0.6,0.714,0.252,True
bostonHousing,gdn,none,1.0,0.0,9.622959911665637e-06,1.307083151961349e-05,-5.587169507135336e-05,2.8970352300859186e-05,1.0,,,
bostonHousing,gdn,pit,1.000781,0.016126,7.68354371280603e-06,1.2046461219846589e-05,-5.763096405836286e-05,3.093305527128602e-05,1.0,1.0,0.033,
bostonHousing,gdn,beta,1.00508,0.016941,1.0526409869536716e-05,1.5308101772811156e-05,-6.0701607734074315e-05,3.2883104971408813e-05,0.9,0.995,0.096,
bostonHousing,gdn,ckme,1.226835,0.190072,6.495623581164408e-05,4.199392297262151e-05,-9.654789355009418e-05,5.498528269007449e-05,0.5,1.15,0.17,True
bostonHousing,mdn,none,1.0,0.0,1.4696112475130087e-05,2.526631873169049e-05,-5.563040805797221e-05,3.0200152554445488e-05,0.9,,,
bostonHousing,mdn,pit,1.011495,0.036336,1.5458092228524073e-05,1.608433744772908e-05,-5.7108144222803726e-05,2.8678163210062654e-05,1.0,1.007,0.03,
bostonHousing,mdn,beta,1.006179,0.025812,1.588855659822919e-05,2.0575532191243316e-05,-5.754516193236538e-05,2.932203950370318e-05,1.0,1.027,0.064,
bostonHousing,mdn,ckme,1.22065,0.215712,6.138659176728568e-05,3.292660337463769e-05,-7.990208961174814e-05,3.62832841239381e-05,0.4,1.175,0.149,True
bostonHousing,bnn,none,1.0,0.0,8.59342473412752e-06,1.4721536444702277e-05,-5.516447428690641e-05,3.232272997746095e-05,0.9,,,
bostonHousing,bnn,pit,1.010255,0.020335,9.690080929894385e-06,1.7013177295417915e-05,-5.650721148824676e-05,3.0248458688604852e-05,0.8,1.004,0.028,
bostonHousing,bnn,beta,1.009111,0.017025,1.2566165894205045e-05,2.0487257090965137e-05,-5.8086926115907256e-05,3.182179837248416e-05,0.8,,,
bostonHousing,bnn,ckme,1.214946,0.173422,6.220910121195161e-05,3.495718735258336e-05,-8.734089017434854e-05,5.052310380779125e-05,0.5,0.934,0.068,True
bostonHousing,drf,none,1.0,0.0,2.084736553355972e-05,3.443517059824122e-05,-7.587766338925742e-05,3.489500112234289e-05,0.8,,,
bostonHousing,drf,pit,1.01936,0.02691,2.551571998047829e-05,3.0766795612511043e-05,-6.968897993693418e-05,2.9917149697349018e-05,0.9,1.002,0.023,
bostonHousing,drf,beta,1.028858,0.041085,4.4070270894562665e-05,2.5440775695286033e-05,-7.773788948801206e-05,3.6213727991332026e-05,0.6,,,
bostonHousing,drf,ckme,1.161662,0.137406,7.789874264981517e-05,8.611480971109285e-05,-9.042199845472136e-05,4.179677353405045e-05,0.4,0.927,0.061,True
energy,gdn,none,1.0,0.0,1.0103045629324674e-06,1.0309725348768958e-06,-2.2076624178924856e-06,8.821057413868564e-07,0.8,,,
energy,gdn,pit,0.997834,0.022247,9.972914676658804e-07,9.888786251332197e-07,-2.2015895246797824e-06,8.753553187288554e-07,0.8,0.981,0.048,
energy,gdn,beta,0.99651,0.01613,9.96278283555384e-07,9.949632697962627e-07,-2.197100779916061e-06,8.792954972153617e-07,0.9,0.984,0.048,
energy,gdn,ckme,0.94636,0.23689,1.1668506875972837e-06,1.0365989986884622e-06,-2.033506453713902e-06,4.071340105996378e-07,0.6,0.767,0.224,True
energy,mdn,none,1.0,0.0,1.2696903148527687e-06,1.0522074644730641e-06,-3.1677038166295742e-06,1.2060738313261e-06,0.7,,,
energy,mdn,pit,0.994711,0.029434,1.2585874134013364e-06,1.1477444909990104e-06,-3.202850489737424e-06,1.2228875697975576e-06,0.8,1.019,0.046,
energy,mdn,beta,1.005178,0.022865,1.2870350730463325e-06,1.1568808397124082e-06,-3.232253514290487e-06,1.2189160379972684e-06,0.8,1.153,0.071,
energy,mdn,ckme,0.760149,0.140201,1.466807636838588e-06,1.2879794753249961e-06,-2.3612856927684985e-06,4.0535719830985495e-07,0.6,0.594,0.178,True
energy,bnn,none,1.0,0.0,1.5417585259864063e-06,1.1282447651701212e-06,-1.95601131156478e-06,3.925267509333947e-07,0.4,,,
energy,bnn,pit,0.903234,0.044425,8.18115433592533e-07,6.938138125522423e-07,-1.7104402294878125e-06,3.203808048610868e-07,0.8,1.008,0.043,
energy,bnn,beta,0.908963,0.035058,8.449665669116295e-07,7.032431540276266e-07,-1.7191098132320054e-06,3.180185587804875e-07,0.7,,,
energy,bnn,ckme,0.920098,0.160635,1.1343434714329115e-06,1.201951959593997e-06,-1.769470451767334e-06,2.6678960878029737e-07,0.6,0.693,0.211,True
energy,drf,none,1.0,0.0,3.0853633421154603e-07,4.5689867224835474e-07,-1.978903168962624e-06,2.527748201515021e-07,0.9,,,
energy,drf,pit,1.052985,0.032827,5.229624829364444e-07,5.226929102777539e-07,-2.1148830063187095e-06,2.6513989208812317e-07,0.9,0.998,0.039,
energy,drf,beta,1.044624,0.029195,5.12436358526486e-07,5.943830971576843e-07,-2.122752859889053e-06,2.7822922011230397e-07,0.9,,,
energy,drf,ckme,0.986984,0.107631,9.01641895032191e-07,8.652621525183974e-07,-2.0304269935271065e-06,2.926792818907762e-07,0.7,0.719,0.198,True
concrete,gdn,none,1.0,0.0,9.694628183134625e-07,2.005429952334691e-06,-4.817264963035551e-06,1.1501046144902347e-06,0.9,,,
concrete,gdn,pit,0.99798,0.010338,8.87448229157541e-07,2.131690081183482e-06,-4.914649365376013e-06,1.0882429071384004e-06,0.9,0.999,0.014,
concrete,gdn,beta,0.998705,0.009619,9.023128862431489e-07,2.218732929196874e-06,-5.059783178358008e-06,1.2512662078955043e-06,0.9,1.0,0.021,
concrete,gdn,ckme,1.031512,0.026406,2.970938855839519e-06,3.7476256565895534e-06,-5.381798464129544e-06,1.1030863529589085e-06,0.7,1.045,0.047,True
concrete,mdn,none,1.0,0.0,6.646053540133462e-07,1.9751381902426273e-06,-4.636614124533664e-06,5.509194759772827e-07,0.8,,,
