dataset,model,method,crps_norm_mean,crps_norm_sd,skce_mean,skce_sd,accept_frac,paper_crps_mean,paper_crps_sd,agree_2sd
yacht,gdn,none,1.0,0.0,1.8018062857435734e-05,1.660650362356466e-05,0.2,,,
yacht,gdn,pit,1.019012,0.079474,2.2311794329700218e-05,2.810093291954075e-05,0.1,0.997,0.077,
yacht,gdn,beta,0.998807,0.077054,2.353986981470418e-05,3.1418233780079845e-05,0.1,0.905,0.198,
yacht,gdn,ckme,1.717117,0.56957,4.530085845365144e-05,3.6895013307220416e-05,0.4,1.276,0.537,True
yacht,mdn,none,1.0,0.0,9.871751285147937e-05,0.0001757918553500585,0.0,,,
yacht,mdn,pit,0.973155,0.037791,9.873414745353324e-05,0.0001769900606512559,0.0,1.058,0.13,
yacht,mdn,beta,0.982208,0.05325,0.00010109083461519466,0.00017921195578706655,0.0,0.87,0.131,
yacht,mdn,ckme,1.353218,0.459565,0.00011563677582896374,0.00016495136158244502,0.1,1.326,0.591,True
yacht,bnn,none,1.0,0.0,2.572945133620075e-05,2.8169631094662095e-05,0.3,,,
yacht,bnn,pit,1.007066,0.09092,2.7121591686994254e-05,3.04490392109019e-05,0.0,1.097,0.142,
yacht,bnn,beta,0.98856,0.085791,2.7847818527207066e-05,3.0200583183346296e-05,0.1,,,
yacht,bnn,ckme,1.464769,0.39304,4.712915684133087e-05,4.310200499300009e-05,0.4,0.889,0.341,True
yacht,drf,none,1.0,0.0,5.745795395468456e-06,1.4632358192241021e-05,0.8,,,
yacht,drf,pit,1.072934,0.058282,8.917856026133746e-06,1.1353770743876761e-05,0.8,0.933,0.089,
yacht,drf,beta,1.072009,0.071697,9.285266525352637e-06,1.055572293100497e-05,0.9,,,
yacht,drf,ckme,1.537766,0.545922,4.922133148770578e-05,5.075518274380128e-05,0.4,0.714,0.252,True
bostonHousing,gdn,none,1.0,0.0,8.987181363163193e-06,1.3921913798435779e-05,0.9,,,
bostonHousing,gdn,pit,1.003527,0.015753,7.538761320790363e-06,1.224158731016018e-05,0.8,1.0,0.033,
bostonHousing,gdn,beta,1.008598,0.017685,1.038638736352445e-05,1.548364285355877e-05,0.8,0.995,0.096,
bostonHousing,gdn,ckme,1.216817,0.16749,6.355544633324364e-05,4.2088016953741986e-05,0.5,1.15,0.17,True
bostonHousing,mdn,none,1.0,0.0,1.6363956695194157e-05,2.65457376829156e-05,0.7,,,
bostonHousing,mdn,pit,1.005626,0.019268,1.7201832114606935e-05,2.36367130862662e-05,0.7,1.007,0.03,
bostonHousing,mdn,beta,1.000814,0.017807,1.713787146921248e-05,2.2270341461693385e-05,0.7,1.027,0.064,
bostonHousing,mdn,ckme,1.248204,0.226629,7.117600141528293e-05,4.519233753669302e-05,0.5,1.175,0.149,True
bostonHousing,bnn,none,1.0,0.0,8.593418851758311e-06,1.4721532135582928e-05,0.9,,,
bostonHousing,bnn,pit,1.010258,0.020338,9.686526759304251e-06,1.701370329559215e-05,0.8,1.004,0.028,
bostonHousing,bnn,beta,1.009111,0.017025,1.2566157761232556e-05,2.04872600517715e-05,0.8,,,
bostonHousing,bnn,ckme,1.214946,0.173422,6.220902075356608e-05,3.495705798848298e-05,0.5,0.934,0.068,True
bostonHousing,drf,none,1.0,0.0,2.0847365533559583e-05,3.443517059824258e-05,0.8,,,
bostonHousing,drf,pit,1.01936,0.02691,2.5515719980477488e-05,3.0766795612510556e-05,0.8,1.002,0.023,
bostonHousing,drf,beta,1.028858,0.041085,4.407027089456098e-05,2.544077569528234e-05,0.7,,,
bostonHousing,drf,ckme,1.161662,0.137406,7.789874264995739e-05,8.611480971143195e-05,0.5,0.927,0.061,True
energy,gdn,none,1.0,0.0,1.1113762653722551e-06,9.954190618462239e-07,0.6,,,
energy,gdn,pit,0.992398,0.013861,1.1913565816431139e-06,1.0559876589621306e-06,0.5,0.981,0.048,
energy,gdn,beta,0.994192,0.017725,1.1828848666012849e-06,1.088346389096867e-06,0.5,0.984,0.048,
energy,gdn,ckme,0.909436,0.23395,1.1659102002166586e-06,7.203514586890438e-07,0.5,0.767,0.224,True
energy,mdn,none,1.0,0.0,1.5046512544644048e-06,2.0781642551797636e-06,0.8,,,
energy,mdn,pit,1.003772,0.036501,1.7571122121994546e-06,2.7277546161287067e-06,0.8,1.019,0.046,
energy,mdn,beta,1.0045,0.035162,1.6763917205404805e-06,2.7601956657844822e-06,0.8,1.153,0.071,
energy,mdn,ckme,0.740051,0.150594,1.5611932392572675e-06,1.7814187084570201e-06,0.7,0.594,0.178,True
energy,bnn,none,1.0,0.0,1.5460045495898434e-06,1.1255961607348654e-06,0.3,,,
energy,bnn,pit,0.912544,0.065024,9.374461687643978e-07,8.401920318904215e-07,0.4,1.008,0.043,
energy,bnn,beta,0.917852,0.055085,9.610489407753257e-07,8.349523527912396e-07,0.4,,,
energy,bnn,ckme,0.934377,0.15648,1.1365798243978701e-06,1.1993544233642357e-06,0.6,0.693,0.211,True
energy,drf,none,1.0,0.0,3.085363342115463e-07,4.56898672248355e-07,0.8,,,
energy,drf,pit,1.052985,0.032827,5.229624829364425e-07,5.226929102777512e-07,0.9,0.998,0.039,
energy,drf,beta,1.044624,0.029195,5.124363585264868e-07,5.943830971576922e-07,0.8,,,
energy,drf,ckme,0.986984,0.107631,9.016418950324126e-07,8.652621525186153e-07,0.7,0.719,0.198,True
concrete,gdn,none,1.0,0.0,9.744083616139592e-07,2.0018368663112217e-06,0.8,,,
concrete,gdn,pit,0.998297,0.010224,8.889417740547662e-07,2.1307029647682978e-06,0.9,0.999,0.014,
concrete,gdn,beta,0.998863,0.009379,9.029696064366204e-07,2.2184561697735187e-06,0.9,1.0,0.021,
concrete,gdn,ckme,1.032085,0.026008,2.9653338667951e-06,3.739059936716079e-06,0.7,1.045,0.047,True
concrete,mdn,none,1.0,0.0,8.763208517035986e-07,2.2777213583663917e-06,0.8,,,
concrete,mdn,pit,1.006335,0.006807,1.509397873613982e-06,3.3512495379740424e-06,0.8,1.003,0.018,
concrete,mdn,beta,1.006616,0.009448,1.719845663236317e-06,3.678718917330861e-06,0.7,1.038,0.028,
concrete,mdn,ckme,1.047612,0.035038,3.579345102641398e-06,4.796120154997255e-06,0.7,1.032,0.038,True
concrete,bnn,none,1.0,0.0,5.590945342053201e-07,9.603386877211886e-07,1.0,,,
concrete,bnn,pit,1.001298,0.010425,8.548280593320636e-07,1.928094005523759e-06,0.8,1.001,0.015,
concrete,bnn,beta,1.000452,0.012443,9.54123611843413e-07,2.035758854301337e-06,0.8,,,
concrete,bnn,ckme,1.037862,0.031998,2.9480014589867857e-06,3.3900720075619616e-06,0.6,0.928,0.042,True
concrete,drf,none,1.0,0.0,2.0677177719378123e-06,2.348492593622098e-06,0.8,,,
concrete,drf,pit,0.977491,0.016215,1.2052777757206392e-06,1.915888373949806e-06,0.9,1.0,0.009,
concrete,drf,beta,0.981108,0.010002,1.3653253662446464e-06,1.936412969996971e-06,0.8,,,
concrete,drf,ckme,0.976025,0.034564,2.856618203008866e-06,3.4589701752518193e-06,0.6,0.915,0.034,True
wine-quality-red,gdn,none,1.0,0.0,0.07148809570070186,0.01649130345359409,0.0,,,
wine-quality-red,gdn,pit,0.999984,0.010184,0.0670493267292652,0.014998292766913774,0.0,0.999,0.009,
wine-quality-red,gdn,beta,1.002812,0.010984,0.07303958694897053,0.016181056102551307,0.0,1.0,0.011,
wine-quality-red,gdn,ckme,0.898427,0.028067,0.016668394623183404,0.008878401298580573,0.0,0.901,0.026,True
wine-quality-red,mdn,none,1.0,0.0,0.013347326105830556,0.008409192482255542,0.0,,,
wine-quality-red,mdn,pit,1.02346,0.031647,0.017875126629178638,0.00931163969067913,0.0,1.002,0.007,
wine-quality-red,mdn,beta,1.0123,0.023598,0.015418374792265616,0.006808420966320408,0.0,1.014,0.021,
wine-quality-red,mdn,ckme,1.024034,0.02382,0.012773926104432842,0.007383095887588155,0.1,1.06,0.042,True
wine-quality-red,bnn,none,1.0,0.0,0.06857196626275439,0.01738332669460669,0.0,,,
wine-quality-red,bnn,pit,1.00243,0.005621,0.06575842413383147,0.015610835856323049,0.0,1.0,0.006,
wine-quality-red,bnn,beta,1.0045,0.00892,0.07127546135687937,0.01778700260145236,0.0,,,
wine-quality-red,bnn,ckme,0.903651,0.029826,0.017891230806916007,0.007396567615318119,0.0,0.899,0.022,True
wine-quality-red,drf,none,1.0,0.0,0.0072801858049722935,0.006052812034731845,0.5,,,
wine-quality-red,drf,pit,1.569574,0.146495,0.10326243906822281,0.022893296678713825,0.0,1.0,0.005,
wine-quality-red,drf,beta,1.499851,0.135509,0.09437342541942587,0.023398278752153466,0.0,,,
wine-quality-red,drf,ckme,1.026052,0.016009,0.006981252845032171,0.004177338583443715,0.2,0.902,0.019,False
